# S(net10),S(net14),S(net9),S(net13),S(net12),S(net7),S(net6),S(net11),S(net5),S(net8),S(net16),S(net4),S(net19),S(net17),S(net0),S(net1),S(out1),S(out4),S(out2),S(net2),S(net3),S(net15),S(net18),S(out0),S(out3)
0.000098000000,0.000064000000,0.000009500000,0.000083000000,0.000034000000,0.000100000000,0.000025000000,0.000053000000,0.000069000000,0.000020000000,0.000100000000,0.000059000000,0.000100000000,0.000029000000,0.000093000000,0.000073000000,0.000100000000,0.000049000000,0.000088000000,0.000078000000,0.000039000000,0.000100000000,0.000004500000,0.000015000000,0.000044000000
0.000100000000,0.000020000000,0.000009500000,0.000064000000,0.000058000000,0.000034000000,0.000044000000,0.000074000000,0.000093000000,0.000078000000,0.000039000000,0.000088000000,0.000100000000,0.000069000000,0.000100000000,0.000100000000,0.000004500000,0.000083000000,0.000025000000,0.000015000000,0.000054000000,0.000100000000,0.000098000000,0.000029000000,0.000049000000
0.000093000000,0.000054000000,0.000064000000,0.000009500000,0.000078000000,0.000015000000,0.000088000000,0.000034000000,0.000025000000,0.000020000000,0.000044000000,0.000100000000,0.000083000000,0.000100000000,0.000098000000,0.000049000000,0.000100000000,0.000074000000,0.000100000000,0.000004500000,0.000068000000,0.000039000000,0.000100000000,0.000029000000,0.000059000000
0.000083000000,0.000044000000,0.000025000000,0.000064000000,0.000034000000,0.000019000000,0.000100000000,0.000029000000,0.000039000000,0.000015000000,0.000078000000,0.000004500000,0.000088000000,0.000100000000,0.000049000000,0.000068000000,0.000054000000,0.000098000000,0.000009500000,0.000059000000,0.000100000000,0.000073000000,0.000093000000,0.000100000000,0.000100000000
0.000069000000,0.000025000000,0.000019000000,0.000093000000,0.000078000000,0.000088000000,0.000083000000,0.000059000000,0.000029000000,0.000004500000,0.000014000000,0.000009500000,0.000049000000,0.000044000000,0.000100000000,0.000053000000,0.000100000000,0.000098000000,0.000039000000,0.000034000000,0.000100000000,0.000064000000,0.000073000000,0.000100000000,0.000100000000
0.000049000000,0.000009500000,0.000004500000,0.000039000000,0.000044000000,0.000083000000,0.000064000000,0.000015000000,0.000053000000,0.000088000000,0.000059000000,0.000068000000,0.000100000000,0.000074000000,0.000100000000,0.000100000000,0.000100000000,0.000100000000,0.000019000000,0.000029000000,0.000078000000,0.000098000000,0.000025000000,0.000034000000,0.000093000000
0.000069000000,0.000004500000,0.000020000000,0.000039000000,0.000025000000,0.000100000000,0.000049000000,0.000044000000,0.000074000000,0.000083000000,0.000100000000,0.000100000000,0.000064000000,0.000015000000,0.000059000000,0.000078000000,0.000098000000,0.000034000000,0.000053000000,0.000009500000,0.000093000000,0.000029000000,0.000100000000,0.000100000000,0.000088000000
0.000039000000,0.000078000000,0.000093000000,0.000049000000,0.000015000000,0.000098000000,0.000044000000,0.000029000000,0.000004500000,0.000100000000,0.000058000000,0.000025000000,0.000074000000,0.000034000000,0.000100000000,0.000083000000,0.000009500000,0.000020000000,0.000068000000,0.000054000000,0.000088000000,0.000100000000,0.000100000000,0.000100000000,0.000063000000
0.000059000000,0.000100000000,0.000064000000,0.000100000000,0.000078000000,0.000088000000,0.000004500000,0.000098000000,0.000044000000,0.000020000000,0.000029000000,0.000009500000,0.000053000000,0.000039000000,0.000083000000,0.000074000000,0.000015000000,0.000049000000,0.000100000000,0.000025000000,0.000034000000,0.000069000000,0.000100000000,0.000093000000,0.000100000000
0.000054000000,0.000100000000,0.000034000000,0.000100000000,0.000100000000,0.000078000000,0.000009500000,0.000049000000,0.000093000000,0.000015000000,0.000020000000,0.000083000000,0.000088000000,0.000074000000,0.000029000000,0.000069000000,0.000059000000,0.000004500000,0.000100000000,0.000064000000,0.000044000000,0.000100000000,0.000025000000,0.000039000000,0.000098000000
0.000038000000,0.000035000000,0.000039000000,0.000036000000,0.000041000000,0.000050000000,0.000028000000,0.000041000000,0.000029000000,0.000016000000,0.000025000000,0.000029000000,0.000055000000,0.000035000000,0.000047000000,0.000025000000,0.000029000000,0.000048000000,0.000044000000,0.000028000000,0.000025000000,0.000045000000,0.000040000000,0.000021000000,0.000031000000
0.000057000000,0.000031000000,0.000011000000,0.000030000000,0.000020000000,0.000042000000,0.000026000000,0.000028000000,0.000044000000,0.000039000000,0.000040000000,0.000035000000,0.000051000000,0.000025000000,0.000048000000,0.000045000000,0.000022000000,0.000018000000,0.000046000000,0.000023000000,0.000038000000,0.000051000000,0.000049000000,0.000035000000,0.000026000000
0.000033000000,0.000021000000,0.000009000000,0.000030000000,0.000026000000,0.000054000000,0.000031000000,0.000027000000,0.000029000000,0.000027000000,0.000050000000,0.000038000000,0.000044000000,0.000015000000,0.000043000000,0.000044000000,0.000056000000,0.000036000000,0.000027000000,0.000035000000,0.000033000000,0.000039000000,0.000040000000,0.000039000000,0.000043000000
0.000027000000,0.000027000000,0.000016000000,0.000024000000,0.000014000000,0.000030000000,0.000017000000,0.000013000000,0.000014000000,0.000013000000,0.000014000000,0.000018000000,0.000022000000,0.000019000000,0.000028000000,0.000025000000,0.000027000000,0.000025000000,0.000027000000,0.000019000000,0.000032000000,0.000029000000,0.000017000000,0.000020000000,0.000023000000
0.000025000000,0.000021000000,0.000013000000,0.000031000000,0.000020000000,0.000019000000,0.000021000000,0.000017000000,0.000025000000,0.000038000000,0.000018000000,0.000029000000,0.000034000000,0.000017000000,0.000023000000,0.000023000000,0.000019000000,0.000013000000,0.000029000000,0.000007000000,0.000024000000,0.000036000000,0.000035000000,0.000025000000,0.000026000000
0.000007000000,0.000002000000,0.000001000000,0.000001000000,0.000007000000,0.000002000000,0.000009000000,0.000002000000,0.000005000000,0.000006000000,0.000003000000,0.000008000000,0.000009000000,0.000007000000,0.000010000000,0.000012000000,0.000004000000,0.000002000000,0.000005000000,0.000001000000,0.000007000000,0.000009000000,0.000004000000,0.000006000000,0.000008000000
0.000038000000,0.000035000000,0.000039000000,0.000036000000,0.000041000000,0.000050000000,0.000028000000,0.000041000000,0.000029000000,0.000016000000,0.000025000000,0.000029000000,0.000055000000,0.000035000000,0.000047000000,0.000025000000,0.000029000000,0.000048000000,0.000044000000,0.000028000000,0.000025000000,0.000045000000,0.000040000000,0.000021000000,0.000031000000
0.000033000000,0.000021000000,0.000009000000,0.000030000000,0.000026000000,0.000054000000,0.000031000000,0.000027000000,0.000029000000,0.000027000000,0.000050000000,0.000038000000,0.000044000000,0.000015000000,0.000043000000,0.000044000000,0.000056000000,0.000036000000,0.000027000000,0.000035000000,0.000033000000,0.000039000000,0.000040000000,0.000039000000,0.000043000000
0.000027000000,0.000027000000,0.000016000000,0.000024000000,0.000014000000,0.000030000000,0.000017000000,0.000013000000,0.000014000000,0.000013000000,0.000014000000,0.000018000000,0.000022000000,0.000019000000,0.000028000000,0.000025000000,0.000027000000,0.000025000000,0.000027000000,0.000019000000,0.000032000000,0.000029000000,0.000017000000,0.000020000000,0.000023000000
0.000001000000,0.000000000000,0.000000000000,0.000000000000,0.000001000000,0.000001000000,0.000001000000,0.000000000000,0.000000000000,0.000002000000,0.000000000000,0.000001000000,0.000000000000,0.000001000000,0.000001000000,0.000003000000,0.000001000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000001000000,0.000001000000,0.000002000000,0.000003000000
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000001000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000001000000
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000001000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000001000000
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
